"c262f1ba12076b59","Вам потрібна USB-флешка"
"debug_interact_printing_plates","Утримуйте $BTN_INTERACT; щоб взяти Печатну Пластину"
"debug_interact_requires_gold_bag","Утримуйте $BTN_INTERACT;, щоб кинути сумку"
"debug_interact_requires_gold_bag_PS3","Утримуйте $BTN_INTERACT;, щоб кинути сумку"
"debug_interact_revive","Утримуйте $BTN_INTERACT;, щоб допомогти напарнику"
"debug_interact_revive_PS3","Утримуйте $BTN_INTERACT;, щоб допомогти напарнику"
"debug_interact_saw","Утримуйте $BTN_INTERACT;, щоб розмістити пилу"
"debug_interact_saw_PS3","Утримуйте $BTN_INTERACT;, щоб розмістити пилу"
"debug_interact_saw_jammed","Утримуйте $BTN_INTERACT; щоб перезавести пилу"
"debug_interact_saw_jammed_PS3","Утримуйте $BTN_INTERACT; щоб перезавести пилу"
"debug_interact_search_key","Утримуйте $BTN_INTERACT; для пошуку ключа"
"debug_interact_search_key_PS3","Утримуйте $BTN_INTERACT; для пошуку ключа"
"debug_interact_security_station","Утримуйте $BTN_INTERACT; щоб запустити злом."
"debug_interact_security_station_jammed","Утримуйте $BTN_INTERACT;, щоб продовжити"
"debug_interact_sentry_gun_reload","Утримуйте $BTN_INTERACT; для перезаряджання турелі$NL;( Залишилося боєприпасів: $AMMO; )"
"debug_interact_sewer_manhole","Утримуйте $BTN_INTERACT; щоб відкрити люк."
"debug_interact_stash_planks","Утримувати $BTN_INTERACT;, щоб Забарикадувати"
"debug_interact_stash_planks_pickup","Утримуйте $BTN_INTERACT;, щоб взяти дошки"
"debug_interact_stash_server","Утримуйте $BTN_INTERACT; для підключення до сервера"
"debug_interact_stash_server_cord","Натисніть $BTN_INTERACT;, щоб під'єднати розетку"
"debug_interact_stash_server_pickup","Утримуйте $BTN_INTERACT;, щоб взяти сервер"
"debug_interact_take_christmas_present","Натисніть $BTN_INTERACT; щоб забрати Різдвяний подарунок."
"debug_interact_tear_painting","Натисніть $BTN_INTERACT; щоб зірвати малюнок"
"debug_interact_temp_interact_box","Зажміть $BTN_INTERACT;, щоб взаємодіяти"
"debug_interact_temp_interact_box_PS3","Утримуйте $BTN_INTERACT;, щоб взаємодіяти"
"debug_interact_temp_interact_box_press","Натисніть $BTN_INTERACT;, щоб взаємодіяти"
"debug_interact_thermite","Утримуйте $BTN_INTERACT;, щоб розмістити Терміт"
"debug_interact_thermite_PS3","Утримуйте $BTN_INTERACT;, щоб розмістити Терміт"
"debug_interact_trade","Утримуйте $BTN_INTERACT;, щоб обміняти напарника"
"debug_interact_trade_PS3","Утримуйте $BTN_INTERACT;, щоб обміняти напарника"
"debug_interact_trade_hostage_skm","Утримуйте $BTN_INTERACT;, щоб обміняти заручника"
"debug_interact_transformer_box","Утримуйте $BTN_INTERACT;, щоб увімкнути живлення"
"debug_interact_trip_mine","Натисніть $BTN_INTERACT, щоб увімкнути або вимкнути міну"
"debug_interact_trip_mine_PS3","Натисніть $BTN_INTERACT, щоб увімкнути або вимкнути міну"
"debug_interact_water_tap","Утримуйте $BTN_INTERACT;, щоб увімкнути воду"
"debug_loading_level","Завантаження"
"debug_lu_current_spec","ПОТОЧНА СПЕЦИФІКАЦІЯ:"
"debug_lu_level_locked","ПРИВ'ЯЗАНИЙ ДО РЕПУТАЦІЇ"
"debug_lu_menu_help","УТРИМУЙТЕ [TAB] ЩОБ ЗМІНИТИ СПЕЦІАЛЬНІСТЬ"
"debug_lu_menu_help_PS3","УТРИМУЙТЕ $BTN_BACK; ЩОБ ЗМІНИТИ СПЕЦІАЛЬНІСТЬ"
"debug_lu_next_level","НАСТУПНЕ ПОКРАЩЕННЯ"
"debug_lu_reached_level","ДОСЯГНУТО $NL; РІВНЯ РЕПУТАЦІЇ"
"debug_lu_unlocked","РОЗБЛОКОВАНО"
"debug_lu_upgrade_awarded","ПОЛІПШЕННЯ ВРУЧЕНО"
"debug_m79","Гранатомет GL40"
"debug_m79_short","GL40"
"debug_mission_end_continue","$CONTINUE; Продовжити до лобі"
"debug_mission_end_continue_PS3","$BTN_A; Продовжити до лобі"
"debug_mission_end_debug_continue","[g] Налагодження продовжено"
"debug_mission_end_debug_continue_PS3","$BTN_Y; Налагодження продовжено"
"debug_mission_gameover_exit","[ENTER] Вихід"
"debug_mission_gameover_exit_PS3","$BTN_A; Вихід"
"debug_modify_active_challenges","Змінити активні виклики"
"debug_modify_active_challenges_help","Перелічити всі активні лічильники на основі викликів. Вибір одного призведе до того, що в цьому виклику залишиться лише один до завершення. Вибір також примусово оновить меню."
"debug_mugshot_cuffed","Посадили в наручники"
"debug_mugshot_downed","Поранені"
"debug_mugshot_electrified","Електризовано"
"debug_mugshot_in_custody","Під вартою."
"debug_next_stage","Наступний етап"
"debug_next_upgrade","НАСТУПНЕ ПОКРАЩЕННЯ:"
"debug_post_effects","Постефекти"
"debug_qatest","QA тест на мапі в роумінгу"
"debug_sandbox","Пісочниця"
"debug_sandbox_description","Ігровий майданчик для розробників."
"debug_secret_stash","Під прикриттям"
"debug_secret_stash_briefing","Таксмен думав, що він хитрий, укладаючи угоду з великою корпорацією, але інформація просочилася, і тепер більші акули хочуть взяти участь - повністю. У нас є повністю занедбана будівля, що виходить на угоду. Ми встановили обладнання. Алекс допоможе з кранами. Заведемо Таксмена в його лімузин, налякаємо його, і він точно передасть нам сервер і коди. Коли мова йде про 25 мільйонів доларів, дозволено все."
"debug_select_primary","Вибір головної зброї"
"debug_select_secondary","Вибір вторинної зброї"
"debug_sentry_gun","Турель"
"debug_server_left","ГРУПУ ЗАЛИШЕНО!"
"debug_show_marketplace_ui","РИНОК"
"debug_silent_sentry_gun","Приглушена турель."
"debug_start_the_game","Налагодження починається."
"debug_suburbia","Фальсифікація товару"
"debug_team_mate_need_free","Напарника заарештували!"
"debug_team_mate_need_revive","Напарник впав!"
"debug_toggle_mission_fading_debug_enabled","Вимкнути текст налагодження місії."
"debug_toolset","Набір інструментів"
"debug_trade_hostage","Обміняй заручника на твого напарника!"
"debug_trade_hostage_skm","Обміняй заручника для викупу!"
"debug_trip_mine","Міна"
"debug_undecided","Не визначено"
"debug_upgrade_crewbonus","КОМАНДНИЙ БОНУС"
"debug_upgrade_new_equipment","НОВЕ СПОРЯДЖЕННЯ"
"debug_upgrade_new_weapon","НОВА ЗБРОЯ"
"debug_upgrade_player_upgrade","ПОКРАЩЕННЯ ГРАВЦЯ"
"debug_upgrade_tree_assault","НАПАД"
"debug_upgrade_tree_sharpshooter","СНАЙПЕР"
"debug_upgrade_tree_support","ПІДТРИМКА"
"debug_upgrade_tree_technician","ТЕХНІК"
"debug_wskn_base_gradient","Базовий градієнт"
"debug_wskn_base_skin","Базовий скін"
"debug_wskn_black","Чорний"
"debug_wskn_blue","Синій"
"debug_wskn_blueprint","Типове креслення"
"debug_wskn_bonus","Бонус"
"debug_wskn_browse_skin","Перегляд теки скінів."
"debug_wskn_changelog_input","Журнал змін"
"debug_wskn_clear_skin","Очистити скін"
"debug_wskn_color","Колір"
"debug_wskn_cubemap_pattern_control_x","Інтенсивність кубомапи патернів."
"debug_wskn_cubemap_pattern_control_y","Вплив кубомапи патернів"
"debug_wskn_customize","Відладка скіну"
"debug_wskn_cyan","Ціан"
"debug_wskn_delete_skin","Видалити скін"
"debug_wskn_desc_input","Опис"
"debug_wskn_edit_skin","Редагувати скін"
"debug_wskn_green","Зелений"
"debug_wskn_name_input","Введіть ID сюди"
"debug_wskn_new_skin","Новий скін"
"debug_wskn_no_skin","Без скіну"
"debug_wskn_none","Нічого"
"debug_wskn_parts","За частиною"
"debug_wskn_pattern","Візерунок"
"debug_wskn_pattern_gradient","Градієнт візерунка."
"debug_wskn_pattern_pos_x","Візерунок розташування X"
"debug_wskn_pattern_pos_y","Візерунок розташування Y"
"debug_wskn_pattern_tweak_x","Масштаб візерунка."
"debug_wskn_pattern_tweak_y","Обертання візерунка"
"debug_wskn_pattern_tweak_z","Прозорість візерунка"
"debug_wskn_pink","Рожевий"
"debug_wskn_publish_skin","Опублікувати"
"debug_wskn_rarity","Рідкість"
"debug_wskn_red","Червоний"
"debug_wskn_save_kit","Скопіювати набір в буфер"
"debug_wskn_save_leg_kit","Скопіювати спеціальний набір до буфера обміну"
"debug_wskn_save_skin","Скопіювати скін в буфер"
"debug_wskn_save_skin_local","Зберегти скін"
"debug_wskn_screenshot_skin","Зняток екрану"
"debug_wskn_sticker","Наліпка"
"debug_wskn_submit_failed","Не вдалося надіслати скін"
"debug_wskn_submit_no_screenshot","Знімок екрану не обрано"
"debug_wskn_sure_to_delete","Ви впевнені, що хочете видалити цей скін?"
"debug_wskn_take_screenshot","Зняток екрану"
"debug_wskn_tbf_input","Введіть теку GUI."
"debug_wskn_title_input","Назва"
"debug_wskn_types","За типом"
"debug_wskn_uv_offset_rot_x","Наліпка X"
"debug_wskn_uv_offset_rot_y","Наліпка Y"
"debug_wskn_uv_offset_rot_z","Обертання наліпки"
"debug_wskn_uv_scale_lock","Заблокувати масштаб"
"debug_wskn_uv_scale_x","Ширина наліпки"
"debug_wskn_uv_scale_y","Висота наліпки"
"debug_wskn_uv_scale_z","Якість наліпки."
"debug_wskn_want_to_save","Ви хочете зберегти зміни?"
"debug_wskn_wear_and_tear","Якість попереднього перегляду"
"debug_wskn_white","Білий"
"debug_wskn_yellow","Жовтий"
"wp_uc_power_back_up","Відновіть електропостачання!"
"wp_uc_saw_limo","Використайте Пилу, щоб відкрити Лімо!"
