"bm_loadout_rifle_american","Assault US"
"menu_vr_rotate_player_angle_desc","Це контролює, на скільки градусів гравець обертається при натисканні кнопок обертання на сенсорному контролері."
"menu_vr_rotate_player_angle_desc_title","Повернути кут гравця."
"menu_vr_set_height","Висота гравця"
"menu_vr_settings","Налаштування ВР"
"menu_vr_short","Низький"
"menu_vr_shoulder_width","Ширина плечей."
"menu_vr_shoulder_width_desc","Відстань від плеча до плеча"
"menu_vr_shoulder_width_desc_title","Ширина плечей."
"menu_vr_skill_addon","Додавання у VR:"
"menu_vr_slow","Повільно"
"menu_vr_start_calibrate","Почати калібрування"
"menu_vr_warp","Ривок"
"menu_vr_warp_walk","Dash + Direct"
"menu_vr_warp_zone_size","Розмір зони ривка."
"menu_vr_warp_zone_size_desc","Зона ривка — це кругла область у центрі панелі відстеження, яка ініціює ривкові рухи.$NL;$NL;Якщо ви використовуєте ривок + прямий рух, ви можете налаштувати розмір цієї області, щоб елементи керування ривком і прямим рухом перетиналися."
"menu_vr_warp_zone_size_desc_title","Розмір зони ривка."
"menu_vr_weapon_precision_mode","Стабілізація прицілу"
"menu_vr_weapon_precision_mode_desc","Стабілізація прицілювання усуває частину фізичних трясінь ваших рухів руками і згладжує рухи, що дозволяє більш точно контролювати гру та прицілюватися."
"menu_vr_weapon_precision_mode_desc_title","Стабілізація прицілу"
"menu_vr_zipline_screen","Комфортна камера"
"menu_vr_zipline_screen_desc","Камера комфорту призначена для боротьби з заколисуванням під час використання троса або парашута. Якщо активована, камера комфорту тимчасово перемістить вас до сцени паузи."
"menu_vr_zipline_screen_desc_title","Комфортна камера"
"menu_warp_armor_inc_desc","Ефект ривка тепер від ##$min;## до максимуму ##$max;##."
"menu_warp_armor_init_desc","Після ривка гравець відновить від ##$min;## до максимуму ##$max;## броні залежно від витраченої витривалості. Це може відбутися лише ##$restores;## разів кожні ##$time;## секунд."
"menu_warp_dodge_inc_desc","Ефект ривка тепер від ##$min;## до максимуму ##$max;##."
"menu_warp_dodge_init_desc","Після ривка гравець отримає від ##$min;## до максимуму ##$max;## ухилення на протязі ##$time;## секунд в залежності від витраченої витривалості."
"menu_warp_health_inc_desc","Ефект ривка тепер від ##$min;## до максимуму ##$max;##."
"menu_warp_health_init_desc","Після ривка гравець відновить від ##$min;## до максимуму ##$max;## здоров'я залежно від витраченої витривалості. Можна відновити максимум ##$amount;## здоров'я кожні ##$time;## секунд."
"vr_belt_grip","Затискайте, щоб обрати"
"vr_reloading","Перезаряджання"
