"--164552ea90517a40","Повстання"
"eday1_brief","Піарники Слона стверджуватимуть, що він прийшов до влади завдяки глибині, лідерству та чесності, але це повна нісенітниця. Цей жирний виродок збирається обманом прокласти собі шлях до Сенату, і тут вступаєте ви. На 39-му пірсі стоять вантажівки. В одній з них машини для голосування. Знайди вантажівку і прикріпи до неї GPS-трекер. Ми розберемося з цим пізніше. Звісно, Слон хоче, щоб це було зроблено з якомога меншою ймовірністю поганої преси, яка повернеться до нього. Тому він виділив частину своїх чималих коштів на спеціальну премію за таємні операції. Ви, хлопці, зробіть це тихо, і хороший політик вас добре винагородить."
"eday2_brief","Я відстежив вантажівку до складу на Гусячому острові. Це розподільчий склад, укладений контракт на доставку машин для голосування до кінцевого пункту призначення. За допомогою невеликих технічних хитрощів ми зробимо ці машини більш прихильними до кандидата в мери від Слона - цього слизького мішка з яйцями МакКендріка. Зайти туди, зламати їх, вийти звідти - просто. "
"eday3_brief","Ми можемо не встигли втрутитися в роботу виборчих машин, але ми все ще можемо допомогти сфальсифікувати ці вибори. Голоси були підраховані, і результати екзит-полів не на нашу користь. Якщо ми зможемо підробити сервер з результатами, ми зможемо спровувати перевибори. Але ось поворот - щоб уникнути підозр, ми збираємося зробити так, щоб це виглядало як колатеральні збитки, пограбувавши банк поруч."
"eday3_brief_skip1","Вантажівку яку ви, придурки, помітили - виявилась неправильною, тому забудьте про перехоплення цих машин для голосування. Ми спробуємо щось інше щоб задовольнити Слона. Ми можемо зробити переобрання через фізичне втручання до сервера в дільницях для голосування. Щоб запобігти підозри від нашого спонсора, ми зробимо так, щоб це виглядало як побічний збиток від пограбування банку навпроти."
"eday3_brief_skip2","Я не зміг знайти потрібну вантажівку через завантажені вами дані про доставку, тому ми не зможемо перехопити ці машини для голосування. Однак, ми все ще можемо залишити Слона задоволеним. Поруч з виборчою дільницею є банк. Ми пограбуємо його. Хоча ні, не зовсім, тому що ваша справжня мета - зламати сервер з результатами голосування, що знаходиться по сусідству. Нападайте на банк, відкривайте сховище і все таке, але пам'ятайте, що ваша справжня мета - розгромити виборчу дільницю."
"german_desc_codex","Вульф може бути щасливим по вуха одну секунду і до біса божевільним наступну. Після психічного зриву він переосмислив свою особистість і тепер це поєднання героїв бойовиків та його власних уявлень про те, яким має бути злочинець."
"heist_airport","Аеропорт"
"heist_airport_briefing","Гаразд, аеропорт знаходиться внизу пагорба. Проріжте паркан і знайдіть ангар, де стоїть вантажівка з кейсами. Мендоза, ймовірно, будуть там. Забери зброю або зроби так, щоб вони її не знайшли. Вони не залишать це без бою"
"heist_airport_crimenet","ФБР перехопила зброю Владу в аеропорту. Йому потрібна ваша допомога, щоб повернути свою зброю$NL;$NL;» Знайти ангар, де зберігається зброя$NL;» Повернути зброю до фургона"
"heist_airport_hl","Аеропорт"
"heist_alex","Щури"
"heist_alex_1_briefing","Ну, ви чули Гектора. Нема часу тягнути кота за яйця. Ми йдемо до нарколабораторії з метом та забираємо товар. Я не впевнений скільки в нас часу поки поліцаї сюди не приїдуть, що тільки продовжує нашу чорну смугу невезіння яку ми мали в останній час."
"heist_alex_1_hl","Варка"
"heist_alex_2_briefing","Гаразд, я поговорив з Гектором. Вищі керівники Мендози втікають з країни, але Гектор не готовий їх відпустити. Він хоче знати, куди вони прямують. У їхніх рядах є зрадник, який продав їх вуличній банді Кобрі - жорстоким покидькам, з якими навіть люди Гектора не мають справ.$NL;Обміняйте мет на інформацію."
"heist_alex_2_hl","Код для Мету"
"heist_alex_3_briefing","Що ж, як виявилось ФБР супроводжують Мендоз щоб вони покинули країну. Можливо мають якусь згоду, можливо ні. Чесно кажучи, мені начхати чи передають їх там чи як. Всі шишки в цьому автобусі, гроші у тому числі. Заберіть гроші, вбийте верхушку Мендози й покінчіть з цим. Ми заходимо за допомогою гелікоптера."
"heist_alex_3_hl","Автобусна зупинка"
"heist_alex_crimenet","Допоможіть Гектору знищити лідерів Мендози.$NL;$NL;» Отримати мет з лабораторії Мендози$NL;» Обміняти мет на інформацію з Кобрами$NL;» Убити лідерів картелю Мендоза"
"heist_arena","Пограбування Алессо"
"heist_arena_briefing","Арена має величезний охоронний поверх, яким керує GenSec. Частково це виставка для корпоративних VIP-персон, але це все ще робоча скарбниця. Сьогодні ввечері ми її пограбуємо. У нас є свій чоловік на цій роботі. Він сховав трохи C4 навколо Арени. Зберіть його, підірвіть сховище знизу і винесіть ті брудні гроші. Тут виступає велика зірка. Ніхто інший, ніж Алессо. Сьогодні ввечері - останній вечір його розпроданого турне Східним узбережжям, і він пообіцяв зірвати дах. О, і Вовк - тримайтеся подалі від танцполу."
"heist_arena_crimenet","Алессо сьогодні в місті. Він грає на Арені GenSec і ми направляємось туди. Алессо не є ціллю, до речі. Арена слугує як захищеною фортецею, так і місцем, де GenSec демонструє своє нове сховище - Сейф Інвестицій. Вони думають, що він непроникний. Доведемо їм, що вони неправі. $NL;$NL;» Обшукайте арену та знайдіть C4 $NL;» Закладіть C4 в гаражі під сховищем $NL;» Зламайте систему в Кабіні Контролю Піротехники та здетонуйте C4 $NL;» Просвердліть дно сховища $NL;» Забирайте здобич та тікайте"
"heist_arena_hl","Пограбування Алессо"
"heist_arm_cro","Транспорт: Перехрестя"
"heist_arm_cro_briefing","Ми змусили інкасаторки GenSec проїхати на іншу дорогу на розі Маккарті та Джеймса. Звісно там були хіпстери з Тайм Аута, які усрались у свої лате-мак'ято. Вам треба буде проникнути в вантажівки та зламати сейфи всередині. Що б вони не перевозили - заберіть та забирайтесь."
"heist_arm_cro_crimenet","Бейн перехопив автоколону броньованих вантажівок GenSec. Вони перевозять високовартісний вантаж, і вам потрібно швидко дістатися до нього і викрасти його.$NL;$NL;» увірватися до нерухомих вантажівок$NL;» відкрити сейфи$NL;» доставити здобич до машини для втечі"
"heist_arm_cro_hl","Транспорт: Перехрестя"
"heist_arm_fac","Транспорт: Гавань"
"heist_arm_fac_briefing","Ми використовуємо магнітний кран, щоб кинути маленький подарунок на шляху автоколонні GenSec - сталевий контейнер із професійними лиходіями. Атакуйте вантажівки і доставте здобич до машини для втечі. Ці докі мають багату історію пограбувань, панове - зробіть це з гордістю."
"heist_arm_fac_crimenet","Бейн перехопив автоколону броньованих вантажівок GenSec. Вони перевозять високовартісний вантаж, і вам потрібно швидко дістатися до нього і викрасти його.$NL;$NL;» увірватися до нерухомих вантажівок$NL;» відкрити сейфи$NL;» доставити здобич до машини для втечі"
"heist_arm_fac_hl","Транспорт: Гавань"
"heist_arm_for","Транспорт: Пограбування потяга"
"heist_arm_for_briefing","Креслення, яке ви знайшли, було для нового типу піхотної турелі під кодовою назвою RC1. Справжнє лайно нового покоління. Копаючись глибше, я дізнався про спеціально зафрахтований потяг, який прямує до Пентагону. Я зламав мережу залізниці й вони думають, що зупинились через глюк на перемикачах. Три вагони. Один з товаром. Інші два для патронів. Все це можна продати, але головне - турель. Вони вас не очікують."
"heist_arm_for_crimenet","Та схема, яку ви знайшли в попередньому завданні, була для прототипу піхотної зброї, нового виду турелі. На ньому також знаходиться значна кількість боєприпасів, які ви також можете спробувати вилучити.$NL;$NL;» Знайти і увірватися до правильного вагон$NL;» Отримати прототип турелі$NL;» Розібрати і закріпити компоненти турелі$NL;» Отримати необхідну кількість боєприпасів$NL;» Закріпити всі предмети в машині, що чекає"
"heist_arm_for_hl","Транспорт: Пограбування потяга"
"heist_arm_hcm","Транспорт: Центр Міста"
"heist_arm_hcm_briefing","Одна естакада в центрі міста, п'ять фунтів стратегічно розташованої C-4 і бездоганний час дали нам автоколону GenSec, що потрапила в пастку. Атакуйте їх сильно, поки вони ще дезорієнтовані. Увірвіться до вантажівок і сейфів і поверніть добро водію для втечі."
"heist_arm_hcm_crimenet","Бейн перехопив автоколону броньованих вантажівок GenSec. Вони перевозять високовартісний вантаж, і вам потрібно швидко дістатися до нього і викрасти його.$NL;$NL;» увірватися до нерухомих вантажівок$NL;» відкрити сейфи$NL;» доставити здобич до машини для втечі"
"heist_arm_hcm_hl","Транспорт: Центр Міста"
"heist_arm_par","Транспорт: Парк"
"heist_arm_par_briefing","Обідній натовп у парку Шерпінг Меморіал зазвичай не бачить нічого більш хвилюючого, ніж птах, що какає, тому влаштуйте їм гарне шоу, панове. Вам доведеться мати справу з вантажівками GenSec і сейфами всередині них."
"heist_arm_par_crimenet","Бейн перехопив конвой інкасаторок GenSec. Вони мають дуже цінний вантаж і вам треба зайти швидко та забрати його. $NL;$NL;» Вламайтесь до нерухомих вантажівок$NL;» Відчиніть сейфи$NL;» Заберіть здобич до машини для втечі"
"heist_arm_par_hl","Транспорт: Парк"
"heist_arm_und","Транспорт: Підземний перехід"
"heist_arm_und_briefing","Ми атакуємо автоколону GenSec на під'їзді, по дорозі з Дюллеса до їхнього складу в Макліні, тому очікуйте багатої здобичі. Передайте все, що є в вантажівках, водію для втечі. Ми глибоко в індіанській країні тут, панове, тому очікуйте швидкої реакції з боку найкращих у Д.C."
"heist_arm_und_crimenet","Бейн перехопив автоколону броньованих вантажівок GenSec. Вони перевозять високовартісний вантаж, і вам потрібно швидко дістатися до нього і викрасти його.$NL;$NL;» увірватися до нерухомих вантажівок$NL;» відкрити сейфи$NL;» доставити здобич до машини для втечі"
"heist_arm_und_hl","Транспорт: Під'їзд"
"heist_bex","Банк Сан Мартін"
"heist_bex_briefing","Гаразд, друзі, ми будемо змушені допомогти Владу з цим. Я думаю, ми йому зобов'язані, хоча це приділить багато уваги нашим поточним операціям у Вашингтоні. Він хоче, щоб ми розійшлися на банк San Martin у маленькому сільському місті на півдні від Мехіко. Я трохи хвилююсь, що він такий секретний стосовно того, що саме ми вкрадемо, але він каже, що ви знатимете, коли побачите це. З тим чопом завжди загадка, але в мене є хитрий план, щоб провести тебе через це. Тепер Койопський картель підтримує цей банк, і з того, що я читав про персонажа ""Булюк"", він правий старий байстрюк. Але з точки зору операцій все має бути досить стандартно. Свідома з останніх слів, безумовно!"
"heist_bex_crimenet","Влад вимагає, щоб ти допоміг йому забрати важливу здобич, щоб відплатити за всю його допомогу.$NL;$NL;»Знайти шлях у захищені зони банку San Martin$NL;»Знайти та зламати сховище$NL;»Повернути ''дорогоцінну'' здобич Влада"
"heist_bex_hl","Банк Сан Мартін"
"heist_big","Великий банк"
"heist_big_briefing","Банк Benevolent має історію. Найстаріший банк США, розграбований британцями в 1812 році, зберігав золото під час Громадянської війни, випустив перші облігації ФДР. Чорт, ви навіть знайдете його на звороті ваших десятидолларових купюр. І вгадайте що - за весь цей час він ніколи не був успішно пограбований. Успішно. Ну, сьогодні ваша черга спробувати змінити це.$NL;$NL;Ви входите через передні двері. Огляньте місце, щоб з'ясувати ваш найкращий шлях через вестибюль до сховищ позаду. У мене є кілька ідей про те, як ми будемо піднімати все це добро. Довіртеся мені. Зробіть історію, хлопці."
"heist_big_crimenet","Це мати всіх банківських пограбувань. Двері сховища в банку Benevolent виходять далеко за межі всього, що ви бачили раніше.$NL;$NL;» Сплануйте пограбування за допомогою попереднього планування$NL;» Розвідайте головний зал і бічні офіси$NL;» Знайдіть спосіб увійти до сховища$NL;» Украдіть все, що можете, і виходьте"
"heist_big_hl","Великий банк"
"heist_born","Пограбування Байкерів"
"heist_born_briefing","Ми знали, що вірність Раста буде хиткою в кращому випадку, тому Дейл придумал план, щоб забезпечити її, відібравши у старого байкера його замовний мотоцикл з клубного будинку. Швидка і тиха справа, ви знаєте? На жаль, все тільки ускладнилося. MC OVERKILL взяв в заручники друга Раста, Майка. Причина, по якій Раст був завербований, полягає в тому, що у нього є інформація про нову передову зброю, за якою полює Бейн. Але Раст вирішив нічого нам не розповідати, поки його друг і мотоцикл не будуть в безпеці. Немає іншого вибору, крім як увійти прямо в львине лігво і допомогти йому, панове. Успіхів."
"heist_born_crimenet","Рішення Раста приєднатися до банди Пейд не було безкоштовним. Його колишні брати в MC Overkill полюють на нашу кров. Ми входимо прямо в пастку, але це буде варте того. Довіртеся мені.$NL;$NL;» Увійти до клубного будинку$NL;» Знайти механіка$NL;» Зібрати мотоцикл і втекти"
"heist_born_hl","Львине лігво"
"heist_bph","Пекельний Острів"
"heist_bph_briefing","Гаразд, тепер ми не знаємо точно, де Бейн утримується в полоні або в якому він стані, і всюди кексі Murkywater. Це швидко стане дуже голосним.$NL;Ви входите через систему каналізації, що виходить у океан."
"heist_bph_crimenet","Друзі, Слон надав мені деяку інформацію, і мені вдалося знайти Бейна. Катару тримають його в покинутій в'язниці з Другої світової війни. Заклад розташований на острові в міжнародних водах біля узбережжя північного Орегону і використовується Murkies з 70-х років. Я зробив кілька послуг і купив вам квиток на невелику цивільну субмарину, щоб ви могли проникнути туди і повернути нашого чоловіка.$NL;$NL;» Увійти до комплексу$NL;» Знайти Бейна$NL;» Вивести Бейна і втекти"
"heist_bph_crimenet_hl","Пекельний Острів"
"heist_bph_hl","Пекельний Острів"
"heist_branchbank","Пограбування Банку: Випадкове"
"heist_branchbank_briefing","Harvest & Trustee - це відділення банку середнього розміру, сховище ззаду, декілька різних проходів. Спершу огляньте місце. Моя людина залишить термодриль позаду. Встановіть його до дверей сховища та заберіть все, що є всередині до машини для втечі. Хай щасти."
"heist_branchbank_cash","Пограбування банку: Готівка"
"heist_branchbank_cash_briefing","Це пограбування середнього розміру банку, але це не означає, що це буде легко. Ми йдемо за готівкою. Ви хочете знайти сховище, взяти термічний дриль, відкрити двері, зібрати готівку і втекти до нашого фургона. О - мій хлопець сховав термічний дриль у задній частині банку. Успіхів вам, люди..."
"heist_branchbank_cash_crimenet","Бейн хоче, щоб ви здійснили класичне банківське пограбування. Це завдання про відвантаження готівки, яке банк тільки що отримав.$NL;$NL;» Знайти банк$NL;» Знайти термічний дриль$NL;» Просвердлити сховище$NL;» Тримати цивільних під контролем$NL;» Втекти з грошима зі сховища"
"heist_branchbank_crimenet","Бейн хоче, щоб ви здійснили класичне банківське пограбування.$NL;$NL;» Знайти термічний дриль$NL;» Просвердлити сховище$NL;» Тримати цивільних під контролем$NL;» Втекти зі вмістом сховища"
"heist_branchbank_deposit","Пограбування Банку: Депозит"
"heist_branchbank_deposit_briefing","Тепер ми потрапляємо до банківського сховища. Це завдання про депозитні скриньки. Розвідайте банк спочатку. Вони напхали його охороною - камерами і знервованими охоронцями. Відкрийте сховище термічним дрилем, а потім відкрийте депозитні скриньки. Вам може знадобитися пила. А потім віднесіть свою здобич до фургона для втечі."
"heist_branchbank_deposit_crimenet","Бейн хоче, щоб ви здійснили класичне банківське пограбування. Це завдання про депозитні скриньки.$NL;$NL;» Знайти банк$NL;» Знайти термічний дриль$NL;» Просвердлити сховище$NL;» Тримати цивільних під контролем$NL;» Відкрити депозитні скриньки$NL;» Втекти зі вмістом скриньок"
"heist_branchbank_gold","Пограбування банку: Золото"
"heist_branchbank_gold_briefing","Як я казав, ця банківська справа за золото. Це маленький банк, але в них багато охорони та багато клієнтів. Вам потрібно буде працювати акуратно щоб це не пішло боком. Просвердліть сховище та забирайте здобич. Золото дуже важке, пам'ятайте. Чекайте коли я викличу машину для втечі. Зрозуміло? О, ще мій хлопець залишить термодриль щоб проникнути до сховища десь позаду. Поїхали."
"heist_branchbank_gold_crimenet","Бейн хоче, щоб ви здійснили класичне банківське пограбування. Банк Harvest & Trustee намагається збільшити свою ліквідність за допомогою великого депозиту золота.$NL;$NL;» Знайти банк$NL;» Знайти термічний дриль$NL;» Просвердлити сховище$NL;» Втекти з золотом"
"heist_branchbank_hl","Пограбування Банку"
"heist_branchbank_hl_cash","Пограбування банку: Готівка"
"heist_branchbank_hl_deposit","Пограбування Банку: Депозит"
"heist_branchbank_hl_gold","Пограбування Банку: Золото"
"heist_branchbank_hl_random","Пограбування Банку: Випадкове"
"heist_brb","Бруклінський Банк"
"heist_brb_briefing","Виявляється, хтось у Murkywater може бути за нашим поточним становищем. Вони закрили всі канали зв'язку зі мною. Все ще маю кілька друзів там, але виявляється, я офіційно... відсторонений.$NL;Пан Лінденхерст був достатньо добрий, щоб розшифрувати деякі нотатки, які предок надрукував на звороті картини 'Вид на Маунт-Вернон'. Бейн володів справжнім предметом, ви знаєте; доводиться дивуватися, як він це провернув, так?$NL;Згідно з нотатками, усередині сховища Бруклінського банку є щось, закопане в фундаменті; щось, що Бейн потребував, покладене туди, коли бетон заливали. Я поняття не маю, що це таке і як все це пов'язано, але хто б не дістався до нього, вклав багато ресурсів, тому це, мабуть, не якась стара штука. Ми йдемо туди, щоб отримати це, перш ніж хтось інший дізнається, так?"
"heist_brb_crimenet","Бейн шукав об'єкт, закопаний у фундаменті старого банку в Брукліні. Нам потрібно вломитися туди голосно і повернути цей об'єкт.$NL;$NL;» Фургон на дистанційному керуванні Локка врізається в банк$NL;» Увійти до банку$NL;» Отримати доступ до перед-сховищної кімнати$NL;» Відкрити сховище$NL;» Встановити C4 на підлогу$NL;» Отримати об'єкт, захований під сховищем$NL;» Розграбувати більше або втекти"
"heist_brb_hl","Бруклінський Банк"
"heist_cage","Автосалон"
"heist_cage_briefing","Teuer Autos - наша мета. Ми збираємося напасти на їх дилерський центр пізно ввечері. Повинно бути тихо, мало цивільних. Це висококласна контора. Займаються імпортом високопродуктивних суперкарів з Європи та Японії. Ці машини - витвір інженерної краси. І вони дорогі - ми говоримо про ціну будинку в Джорджтауні."
"heist_cage_crimenet","Ми вирушаємо до виставкового залу Teuer. Цього разу наша ціль – нові високопродуктивні спорткари. Заберіть їх звідти. Ми не хочемо жодних подряпин, тому дійте тихо.$NL;$NL;» Знайдіть сховище з ключами$NL;» Отримайте доступ до кімнати з ключами$NL;» Підірвіть ділянку дороги$NL;» Доставте машини до доків"
"heist_cage_hl","Автосалон"
"heist_cane","Майстерня Санти"
"heist_cane_briefing","Це досить просте завдання. Купка бандюг заправляють маленькою операцією. Мають купку ""ельфів"" які розподіляють кокс, який потрібен Владу. Розберіться з ними."
"heist_cane_crimenet","Ціль - склад, що належить банді. У них є кілька ельфів, які роблять подарунки - пакети кокаїну. Нехай вони працюють на нас.$NL;$NL;» Увійти до складу$NL;» Переконати ельфів робити подарунки для нас$NL;» Захистити ельфів$NL;» Забезпечити подарунки"
"heist_cane_hl","Майстерня Санти"
"heist_chas","Пограбування Дракона"
"heist_chas_briefing","Друзі, ми ризикуємо, створюючи шум із тріадами, але це солідна робота. Цзю Фен надав мені докладну інформацію про місцезнаходження, тому ми вирушаємо до Чайнатауну! Статую зберігають на складі, за фасадом чайного магазину. Вам потрібно буде обійти кілька систем безпеки, а тріада проводить аукціон деяких своїх інших цінностей для багатих простаків, тому це потрібно бути готовими відволікти будь-яких цивільних. Переконайтеся, що гальма на фургоні в порядку, і поверніть мені кілька ролів з Chao's на розі, я чув, що це найкраща китайська їжа на західному узбережжі, точно!"
"heist_chas_crimenet","Організація, членом якої я колись був, ускладнює мій бізнес, і мені б хотілося зробити їм важче, отримавши величезний прибуток від їхньої втрати. У них є безцінний предмет, золота статуя дракона. Дуже стара, так?$NL;За чутками, ви шукаєте фінансування, і ця робота буде дуже прибутковою. Я можу надати всі необхідні деталі. Якщо ви візьмете статуетку, вона ваша, щоб робити з нею що завгодно, але за будь-які інші цінності ми ділимо здобич."
"heist_chas_hl","Пограбування Дракона"
"heist_chca","Black Cat"
"heist_chca_briefing","Ми допоможемо Владу поквитатись і заробити купу грошей, розчистивши Black Cat, щойно він увійде в міжнародні води. Джу Фенґ має інсайдера, який нам допомагає, і ми дізналися, що Шунь Кан та ще один тип на ім'я Лі Денґ керують операцією. Вони матимуть ключі для відкриття сховища. Тримайте операцію під контролем, бо берегова охорона наповнить корабель ядрами, перш ніж ви встигнете сказати «Подивіться, чортів плаваючий борсук!», тому без дурниць, зрозуміло?"
"heist_chca_crimenet","Мої друзі, час повернутися до тих сук матерників Золотої Дерев'яної Палочки. За допомогою Цзю Фена я дізнався, що тріада зберігає більшість своїх грошей у сховищі казино на їхньому круїзному кораблі, Чорній Кошці. Виродок, який катував мене, навіть керує цим місцем! Давайте зробимо так, щоб ці їдці локшини відчули себе на Титаніку, і очистимо їх! Звучить добре?$NL;$NL;» Висадитися на Чорну Кошку$NL;» Отримати внутрішню інформацію, код і відбиток руки для сховища$NL;» Знайти і відкрити сховище$NL;» Забезпечити здобич і втекти"
"heist_chca_hl","Чорна Кошка"
"heist_chew","Перехват"
"heist_chew_briefing","Гаразд, ось що ми знаємо: MC OVERKILL якимось чином отримав нову технологію, звану інтерфейсом мозок-комп'ютер. І повірте мені, панове; це майбутнє. Ця технологія BCI дозволяє керувати військовим дроном, використовуючи тільки свій мозок, і, як ви можете собі уявити, вона дуже цінна. Бейн зв'язався з потенційним покупцем, який пропонує велику суму грошей, щоб отримати її. Гарнітура BCI і програмне забезпечення вже в дорозі на вантажному поїзді, на щастя Білі готовий вас підкинути. Тепер за роботу."
"heist_chew_crimenet","MC OVERKILL перевозить свою викрадену техніку на вантажному поїзді. Слон хоче отримати цю техніку. Їдьте і візьміть її.$NL;$NL;» Сісти на поїзд$NL;» Знайти і викрасти гарнітуру BCI$NL;» Втекти"
"heist_chew_hl","Перехват"
"heist_chill_combat","Рейд на безпечне сховище"
"heist_chill_combat_crimenet","Поліція приходить, щоб розгромити безпечне сховище. Але вони не знають, хто там є, тому у вас буде перевага несподіванки. Захистіть свої мішки з грошима будь-якою ціною!$NL;$NL;» Перемогти поліцейський рейд.$NL;» Не дати поліції вкрасти ваші гроші."
"heist_chill_combat_hl","Рейд на безпечне сховище"
"heist_chill_combat_hl_briefing","Поліція приходить, щоб розгромити безпечне сховище. Але вони не знають, хто там є, тому у вас буде перевага несподіванки. Захистіть свої мішки з грошима будь-якою ціною!$NL;$NL;» Перемогти поліцейський рейд.$NL;» Не дати поліції вкрасти ваші гроші."
"heist_contact_bain","Бейн"
"heist_contact_bain_description","Тіньова фігура яка стоїть за Crime.net. Ніхто, навіть банда, ніколи не зустрічали Бейна, весь зв'язок з контактами та командою ретельно перевірений, щоб забезпечити мінімальний ризик усім сторонам."
"heist_contact_classic","Класика"
"heist_contact_classic_description","Контракти зі старих добрих часів."
"heist_contact_continental","Континенталь"
"heist_contact_continental_description","Континенталь - це таємнича установа, готель, але також безпечний притулок для професійних убивць і інших, хто діє в тіні. Іноді Континенталь потребує послуг, які вимагають особливих талантів. Тут вступає в гру банда Пейд."
"heist_contact_events","Події"
"heist_contact_events_description","Контракти з подій"
"heist_contact_gage","Ґейдж "
"heist_contact_gage_description","Ґейдж - ветеран війни в Афганістані, відомий тим, що сидить у візку після замаху на його життя. Він найкращий дилер зброї в межах кордону - і хороший вбивця.$NL;Все, що вам може знадобитися, він ваш чоловік."
"heist_contact_hector","Гектор"
"heist_contact_hector_description","Досконалий колишній бізнес-адміністратор, Гектор - найбільший наркоторговець на Східному узбережжі і наступний у черзі на лідерство в Сіналоанському картелю в Мексиці."
"heist_contact_hoxton","Гокстон"
"heist_contact_interupt","Автогонка"
"heist_contact_jiufeng","Джу Фенґ"
"heist_contact_jiufeng_description","Цзю Фен - дилер зброї, що базується в Сан-Франциско. Колись він був членом могутньої тріади Золотого Дажевого Ножа, але покинув її після того, як потрапив у немилість до її лідера, Юфу Ван. Тим не менш, він все ще володіє інтимним знанням операцій тріади."
"heist_contact_jiufeng_description_old","Тож, хмм. Можете мене називати Джу Фенґом. Як кажуть на районі, банда Payday - крута група з якими можна мати справу, так? І те, що вам завжди потрібні... постачальники. Я думаю мої послуги будуть вам цікаві. Можу навіть... організувати щось довгострокове. Подумайте над цим і поговоримо потім, гаразд?"
"heist_contact_locke","Лок"
"heist_contact_locke_description","Народився в Південній Африці, здобув освіту в лабораторії Лінкольна, тренувався під керівництвом MI5 і тепер працює в Murkywater. Вернон Лок очолює їхній спеціальний відділ кібервійни, якому доручено проникнути в Crime.net. Лок домігся цього. Однак він розглядає це як можливість і звернувся до Бейна і банди Пейд. Угода? Працювати з ним або він знищить Crime.net назавжди."
"heist_contact_mcshay","Джемма МакШей"
"heist_contact_mcshay_description","Техасець від народження, Джемма МакШей походить із великої сім'ї дрібних шахраїв, але вона швидко відрізнялася як більш хитра і здатна злодійка, ніж будь-хто з її родичів. Тепер вона працює високопоставленим членом техаського контрабандного кільця, керуючи багатьма його щоденними операціями самостійно. Її невимушена, товариська чарівність - це камуфляж, щоб приховати її безжальну хитрість. Якщо хтось її образить, вона не побоїться завдати удару у відповідь."
"heist_contact_shayu","Шаю"
"heist_contact_shayu_description","Шаюй - впливовий член тріади Золотого Дажевого Ножа, що базується в Сан-Франциско. Народилася в Макао, Китай, вона зайнялася злочинністю в ранньому віці, виконуючи дрібні завдання для місцевих злочинних синдикатів. З часом, заслуживши репутацію ефективності і лояльності, вона була завербована тріадою Золотого Дажевого Ножа, щоб керувати операціями контрабанди між Гонконгом, Сингапуром і Сан-Франциско. Вона - хитрий дипломат і цілком здатна впоратися з важкими ситуаціями з чудовим балансом між безжальністю і прагматизмом."
