"--12f00d0145597481","Гелловін"
"dialog_allocate_skillpoint","Це розблокує $skill; навичку.$NL;$NL;Це коштуватиме $cost; і $points; з $remaining_points; очок."
"dialog_apply","Застосувати"
"dialog_are_you_sure_you_want_leave","Ви впевнені, що хочете вийти з цього лобі?"
"dialog_are_you_sure_you_want_leave_cs","Ви впевнені, що хочете покинути це лобі?$NL;$NL;Ваша злочинна діяльність буде призупинена, доки ви її не продовжите."
"dialog_are_you_sure_you_want_stop_cs","Ви впевнені, що хочете зупинити Серію Злочинів?$NL;$NL;Це закінчить вашу поточну Серію Злочинів, і жодна винагорода не буде надана."
"dialog_are_you_sure_you_want_stop_cs_refund","Ви впевнені, що хочете зупинити Серію Злочинів?$NL;$NL;Це завершить поточну сферу, і жодна винагорода не буде видана вам. Ваша початкова інвестиція з $coins; Континентальні Монети будуть повернуті до вас."
"dialog_are_you_sure_you_want_to_clear_progress","Ви впевнені, що хочете очистити свій прогрес? Це скине вашу готівку, рівень репутації та ваш інвентар."
"dialog_are_you_sure_you_want_to_leave_game","Ви дійсно хочете покинути поточну гру?"
"dialog_are_you_sure_you_want_to_leave_game_crime_spree","Ви впевнені, що хочете покинути поточну гру?$NL;$NL;Це призведе до того, що ваша гра Crime Spree завершиться невдало, і ви повинні заплатити, щоб продовжити її або отримати нагороди у лобі Crime Spree."
"dialog_are_you_sure_you_want_to_quit","Ви впевнені, що хочете вийти?"
"dialog_are_you_sure_you_want_to_reset_statistics","Ви точно хочете скинути статистику?"
"dialog_ask_load_progress_backup_corrupt","Прогрес профілю пошкоджений. Завантажити з резервної копії? Обравши НІ видалиться ваш прогрес."
"dialog_ask_load_progress_backup_low_lvl","Ваше локальне резервне копіювання новіше, ніж збереження в хмарі.$NL;$NL;Натисніть ТАК, якщо ви хочете завантажити локальну резервну копію."
"dialog_ask_load_progress_backup_wrong_version","Прогрес профілю неправильної версії. Завантажити з резервної копії? Обравши НІ видалиться ваш прогрес."
"dialog_ask_save_progress_backup","Зберегти резервну копію?"
"dialog_assets_buy_title","Ви впевнені?"
"dialog_authentication_fail","Steam не вдалося автентифікуватись з вашим Steam ID."
"dialog_authentication_host_fail","Steam не зміг автентифікувати Steam ID для хоста."
"dialog_blackmarket_abort_mask_warning","Ваша маска не була закінчена. В разі відмови маска залишиться незмінною."
"dialog_blackmarket_assemble_item","Ви дійсно хочете з'єднати $item, маску та розмістити її в інвентарі?$NL;$NL;$num_in_inventory;"
"dialog_blackmarket_buy_item","Ви дійсно бажаєте придбати $item;?$NL;$NL;Це буде коштувати вам $money;.$NL;$NL;$num_in_inventory;"
"dialog_blackmarket_buy_mask_slot","Купівля цього слота розблокує ще одну маску.$NL;$NL;Це коштуватиме вам $money;."
"dialog_blackmarket_buy_weapon_slot","Купівля цього слота розблокує ще одну зброю.$NL;$NL;Це коштуватиме вам $money;."
"dialog_blackmarket_finalize_item","$ITEM;$NL; Ви збираєтеся завершити кастомізацію, цей процес незворотній і буде коштувати вам $money;."
"dialog_blackmarket_item","$item;"
"dialog_blackmarket_lost_mods_warning","(Ваші видалені модифікації будуть розміщені в інвентарі)"
"dialog_blackmarket_mask_sell_mod_readded","$mod; повернеться до вашого інвентарю."
"dialog_blackmarket_mod_add","Ви збираєтеся додати модифікацію $mod; на свою зброю."
"dialog_blackmarket_mod_conflict","Ці модифікації несумісні та будуть видалені:$mods;"
"dialog_blackmarket_mod_cost","Це буде коштувати вам $money;."
"dialog_blackmarket_mod_remove","Ви збираєтеся зняти модифікацію $mod; зі своєї зброї."
"dialog_blackmarket_mod_replace","Це замінить вашу поточну модифікацію $mod;"
"dialog_blackmarket_num_in_inventory","У вас уже є $amount, $item."
"dialog_blackmarket_slot_item","[СЛОТ $slot;] $item;"
"dialog_blackmarket_slot_item_sell","Якщо ви це продасте, вам буде сплачено $money;."
"dialog_blackmarket_slot_mask_remove","Повернути цю маску назад до вашого сховища? $suffix;"
"dialog_blackmarket_slot_mask_remove_suffix","Кастомізація буде продана за $money;."
"dialog_bm_crafted_sell_title","Ви впевнені?"
"dialog_bm_mask_assemble_title","Ви впевнені?"
"dialog_bm_mask_custom_abort","Ви впевнені?"
"dialog_bm_mask_custom_final_title","Ви впевнені?"
"dialog_bm_mask_sell_title","Ви впевнені?"
"dialog_bm_weapon_buy_title","Ви впевнені?"
"dialog_bm_weapon_modify_title","Ви впевнені?"
"dialog_buy_weapon_message","Хочете придбати зброю ''$WEAPON;'' за $COST;?"
"dialog_buy_weapon_title","Купити"
"dialog_can_become_infamous_desc","Ви виконали умови для отримання наступного рангу Неслави. Щоб стати безславним, натисніть '$become_infamous_menu_item;' в інвентарі."
"dialog_cant_continue_cs_text","Ви не можете продовжувати свій злочин через нестачу континентальних монет. Для того, щоб продовжити роботу від $level;$BTN_SPREE_TICKET; вам потрібні $cost; Континентальні монети."
"dialog_cant_continue_cs_title","Це не можливо продовжити"
"dialog_challenge_warn_choose_reward","Це нагорода, яку ви хочете?$NL;$reward;"
"dialog_challenge_warn_choose_reward_title","Ви впевнені?"
"dialog_cheated_host","Не вдалося грати на сервері з чітами."
"dialog_connect_controller_text","Немає Бездротового Контролера, Будь Ласка Повторно Підключіть Контролер"
"dialog_connect_controller_text_NX64","Будь ласка, під'єднайте контролер до Nintendo Switch."
"dialog_connect_controller_text_WIN32","Будь ласка, під'єднайте контролер."
"dialog_connect_controller_text_X360","Будь ласка, повторно підключіть безпровідний контролер Xbox One та натисніть $BTN_A;."
"dialog_connect_controller_title","Немає бездротового контролера"
"dialog_connect_controller_title_NX64","Контролер від'єднано"
"dialog_connect_controller_title_WIN32","Без контролера"
"dialog_connect_controller_title_X360","Контролер від'єднано"
"dialog_connecting_inet_title_NX64","З'єднання..."
"dialog_connection_to_host_lost","Підключення до хоста втрачено"
"dialog_continue","Продовжити"
"dialog_continue_cs_text","Ви хочете продовжити свою Серію Злочинів?$NL;Це дозволить вам продовжити свою Серію Злочинів від $level;$BTN_SPREE_TICKET; щоб отримати ранги Серії Злочинів та накопичити більші нагороди.$NL;$NL;Це буде коштувати вам $cost; Континентальні Монети."
"dialog_continue_cs_title","Продовжити Серію Злочинів"
"dialog_creating_lobby_title","Створення гри"
"dialog_cs_cant_claim_rewards_text","У вас немає нагород, щоб отримати."
"dialog_cs_claim_rewards","Отримати нагороди"
"dialog_cs_claim_rewards_text","Ви впевнені, що хочете отримати нагороду за Серію Злочинів?$NL;$NL;Це закінчить ваше поточне лобі Серії Злочинів, і вам доведеться почати нову, щоб отримати винагороди."
"dialog_cs_crash_fail","Серія Злочинів Провалилася"
"dialog_cs_crash_fail_text","Ваша Серія Злочинів провалилася через несподіване закриття гри.$NL; Ви все ще можете заплатити Континентальні Монети, щоб продовжити."
"dialog_cs_ga_already_purchased","Вже придбано"
"dialog_cs_ga_already_purchased_text","Ви можете придбати лише один Gage Boost за одну місію Crime Spree."
"dialog_cs_ga_in_progress","Грабування В Процесі"
"dialog_cs_ga_in_progress_text","Покращення Ґейджа неможливо придбати після запуску місії."
"dialog_default_options_message","Ви хочете скинути всі параметри до стану за замовчуванням?"
"dialog_default_options_title","Скинути параметри"
"dialog_demo_info_text","Дякуємо за встановлення нашої демо!$NL;$NL;В цій демо-версії PAYDAY 2, ви можете підняти рівень персонажу до 10. Зверніть увагу, що збереження файлу для демо-версії не може бути перенесено до повної гри.$NL;$NL;Ми в команді OVERKILL сподіваємось, що вам сподобається ця демо. Якщо вам подобається те, що ви бачите, ви можете купити PAYDAY 2, де ви можете отримати більше рівнів через нашу систему Безчесті. У повній грі також більше контенту на кшталт більшої кількості пограбувань, зброї, масок і більше.$NL;$NL;- Команда OVERKILL"
"dialog_demo_info_title","Ласкаво просимо до демо PAYDAY 2!"
"dialog_dlc_require_restart","Попередження"
"dialog_dlc_require_restart_desc","Потрібно перезавантажити PAYDAY 2, щоб отримати доступ до нових предметів."
"dialog_does_not_own_heist","Ви не володієте цим пограбуванням та не можете приєднатися до цього сервера."
"dialog_does_not_own_heist_info","Пограбування ''$HEIST;'' не може бути відтворене з гравцем $PLAYER;."
"dialog_dropin_title","$USER; приєднується до гри"
"dialog_err_cant_join_from_game","Ви повинні вийти з поточної гри, перш ніж приєднатися до нової."
"dialog_err_failed_creating_lobby","Не вдалося створити гру."
"dialog_err_failed_joining_lobby","Не вдалося приєднатися до гри."
"dialog_err_failed_searching_lobbys","Помилка отримання ігор."
"dialog_err_not_signed_in","ВИ ПОВИННІ БУТИ В МЕРЕЖІ ЩОБ ВИКОРИСТОВУВАТИ РЕЖИМИ МЕРЕЖНОЇ ГРИ"
"dialog_err_not_signed_in_PS3","Для використання режимів мережі, увійдіть до 'Playstation Network''."
"dialog_err_not_signed_in_X360","Ви не ввійшли в Xbox Live, або у вас немає необхідних прав для доступу до функцій Xbox Live."
"dialog_err_room_allready_joined","Ви вже приєдналися до цієї кімнати."
"dialog_err_room_is_closed","Ця кімната закрита, будь ласка, спробуйте іншу."
"dialog_err_room_is_full","Ця кімната була сформована, будь ласка, спробуйте іншу."
"dialog_err_room_is_full_NX64","Ця кімната була сформована, будь ласка, спробуйте іншу."
"dialog_err_room_is_full_X360","Ця кімната була сформована, будь ласка, спробуйте іншу."
"dialog_err_room_no_longer_exists","Ця кімната більше не існує, будь ласка, спробуйте іншу."
"dialog_err_room_no_longer_exists_NX64","Ця кімната більше не існує, будь ласка, спробуйте іншу."
"dialog_err_room_no_longer_exists_X360","Ця гра більше не існує, будь ласка, спробуйте іншу."
"dialog_err_wrong_version_message","У грі, до якої ви намагаєтеся приєднатися, використовується інша версія PAYDAY 2. Ви не можете приєднатися."
"dialog_error_title","Помилка"
"dialog_external_items_prefix_desc","Спеціальні предмети були переміщені в ваш інвентар!"
"dialog_external_items_title","Новий імпортований трофей"
"dialog_fail_load_dlc_corrupt","Виявлено пошкоджений вміст завантаження. Будь ласка, зайдіть у розділ Пам'яті Панелі Інструментів, видаліть пошкоджений вміст і завантажте його знову."
"dialog_fail_load_game_corrupt","Файл збереження пошкоджено. Неможливо завантажити гру."
"dialog_fail_load_progress_corrupt","Прогрес пошкоджено. Тепер дані буде видалено."
"dialog_fail_load_progress_corrupt_retry","Не вдалося завантажити прогрес. Спробувати завантажити ще раз?"
"dialog_fail_load_progress_wrong_version","Версія системи прогрес-файлу неправильна. Версія $VERSION; або вищезазначена - необхідна. Дані тепер будуть видалені."
"dialog_fail_load_progress_wrong_version_WIN32","Неправильна версія прогрес-файлу. Дані буде видалено."
"dialog_fail_load_progress_wrong_version_retry","Неправильна версія прогрес-файлу. Версія $VERSION; або вищезазначена - необхідна. Спробувати завантажити ще раз?"
"dialog_fail_load_setting_corrupt","Файл налаштувань пошкоджено. Дані тепер будуть видалені."
"dialog_fail_load_setting_corrupt_retry","Пошкоджений файл налаштувань. Спробувати ще раз?"
"dialog_fail_load_setting_wrong_version","Файл налаштувань неправильної версії. Версія $VERSION; або вище - необхідна. Дані тепер буде видалено."
"dialog_fail_load_setting_wrong_version_WIN32","Файл налаштувань неправильної версії. Дані тепер буде видалено."
"dialog_fail_load_setting_wrong_version_retry","Файл налаштувань неправильної версії. Версія $VERSION; або вище - необхідна. Спробувати завантажити знову?"
"dialog_fetching_status_title","Оновлення онлайн-стану."
"dialog_gage_assignment_completed","From: Gage [gage@///REDACTED///]$NL;To: $player;$NL;Date: $date; $time;$NL;Subject: GAGE COURIER ASSIGNMENTS$NL;$NL;GOOD JOB!$NL;$NL;Well done, $player;. Thanks for collecting the packages. It's time to get your reward. Go to your inventory and you will find the content of the following packages:$NL;$completed;$NL;$NL;- Gage"
"dialog_gage_assignment_completed_title","У ВАС НОВЕ ПОВІДОМЛЕННЯ"
"dialog_game_is_installing","Не можна приєднатися до запрошення. Спробуйте ще раз, коли гра завершить встановлення."
"dialog_game_is_installing_menu","Ця частина заголовка ще не була встановлена. Будь ласка, спробуйте ще раз, коли встановлення буде завершено."
"dialog_game_permission_changed","Налаштування гри змінились, ви більше не маєте дозволу на приєднання"
"dialog_game_started","Наразі до гри не можна приєднатися"
"dialog_gamesight_telemetry_text","Перед початком ваших PAYDAY 2 пограбувань, ми хочемо проінформувати вас, що, граючи в гру, ви приймаєте нашу Політику Конфіденційності та нашу PAYDAY УГОДУ КОРИСТУВАЧА.$NL;$NL;Ми також хочемо знати, чи ви дозволите нам увімкнути відслідковування GAMESIGHT і ТЕЛЕМЕТРІЮ. Ці інструменти використовуються для збору інформації про гру.$NL;$NL; ТЕЛЕМЕТРІЯ абсолютно анонімна і показує, що люди грають в гру, які пограбування є найбільш популярними, які цілі занадто складні чи занадто прості, такі речі, як ці, допомагаючи нам зробити гру ще кращою.$NL;$NL; Gamesight говорить про те, як працюють маркетингові кампанії, що допомагає нам залучити нових гравців у PAYDAY 2, гарантуючи, що в наступні роки будуть нові гравці.$NL;$NL;Обидва необов'язкові, і ви можете відключити їх у будь-який час у розширених налаштуваннях."
"dialog_gamesight_telemetry_title","Ласкаво просимо до Payday 2!"
"dialog_gamesight_toggle","Увімкнути Gamesight"
"dialog_getting_world_list","Отримання світового списку"
"dialog_inactive_user_accepted_invite","Запрошення було прийняте неактивним користувачем. Запрошення успішно завершено після натискання START."
"dialog_inactive_user_accepted_invite_error","Запрошення прийнято неактивним користувачем. Запрошення буде проігноровано."
"dialog_infamous_info_desc","Ви не маєте того, що потрібно. Щоб стати безчестним, вам потрібно отримати рівень репутації $level; та сплатити плату за $cash; з вашого офшорного рахунку разом з вашими очками вміння та рештою ваших витрат готівкою."
"dialog_infamous_info_title","Безчестя"
"dialog_infamy_reseted_title","Зверніть увагу"
"dialog_infamysystem_reset","Changes have been made to the Infamy system.$NL;$NL;All rewards have been moved to a linear progression system. Any Infamy items you've unlocked previously will remain unlocked and available to you.$NL;$NL;Any experience boosts you've unlocked in the previous system that now is on a higher level than your current profile will be locked until you reach that level. Any item rewards or experience boosts that now lie below your current Infamy rank will automatically be unlocked.$NL;$NL;The skill point reductions available to the first 5 ranks of Infamy will now all be available on the first rank of Infamy."
"dialog_infamytree_reseted","Changes have been made to the Infamy tree.$NL;$NL;All your Infamy items have been reset and your Infamy points have been refunded."
"dialog_information_title","Інформація"
"dialog_internet_connection_required","A network connection is needed to access the online portions of this title."
"dialog_item_list_macro","$num;x $item;"
"dialog_join_pd2_clan","Go to PAYDAY 2 community page"
"dialog_joining_lobby_title","Joining game"
"dialog_key_binding_collision","Key ''$KEY;'' is already mapped to ''$MAPPED;'', please remap it first."
"dialog_key_binding_forbidden","Key ''$KEY;'' is reserved by the game, please try something else."
"dialog_leaving_lobby_title","Leaving game"
"dialog_license","Read End User Licence Agreement"
"dialog_license_policy_text","Before starting your PAYDAY 2 heists, we want to inform you that by playing the game, you are accepting our PRIVACY POLICY and our PAYDAY END USER LICENSE AGREEMENT."
"dialog_load_wrong_user","Save data belongs to a different user. No progress will be saved and trophies cannot be unlocked."
"dialog_load_wrong_user_WIN32","Save data belongs to a different user. No progress will be loaded."
"dialog_logging_in","Logging in"
"dialog_mission_asset_buy","$asset_desc;$NL;$NL;Вартість: $cost;."
"dialog_mp_disconnected_internet","YOU HAVE BEEN DISCONNECTED"
"dialog_mp_disconnected_internet_NX64","You have been disconnected from Nintendo Account. You must be connected to access the online portions of this title."
"dialog_mp_disconnected_internet_PS3","You have been disconnected from ''PlayStation Network''. You must be connected to access the online portions of this title."
"dialog_mp_disconnected_internet_X360","You have been disconnected from Xbox Live. You must be connected to access the online portions of this title."
"dialog_mp_groupinvite_message","Бажаєте приєднатися до $GROUP;?"
"dialog_mp_groupinvite_title","Game Request"
"dialog_mp_invite_join_message","Please join this game using the 'View Invites' option in the Crime.net menu."
"dialog_mp_invite_message","Please Join my PAYDAY 2 Game"
"dialog_mp_invite_message_NX64","$FRIEND; : Please Join my PAYDAY 2 Game"
"dialog_mp_invite_title","PAYDAY 2"
"dialog_mp_invite_wrong_room_message","Гра, до якої ви були запрошені, більше не існує. Ви не можете приєднатися."
"dialog_mp_invite_wrong_version_message","The game you have been invited to is running another version of PAYDAY 2. You are unable to join."
"dialog_mp_kick_player_message","Гравця $PLAYER; буде вигнано з гри. Бажаєте продовжити?"
"dialog_mp_kick_player_title","Вигнати гравця"
"dialog_mp_kicked_out_message","Вас вигнали з гри."
"dialog_mp_kicked_out_title","Викинуто"
"dialog_mp_no_invites_message","You have no game invites."
"dialog_mp_pending_invite_message","YOU HAVE A PENDING GAME INVITE. SIGN IN TO ''PlayStation Network'' USING THE 'PLAY ONLINE' OPTION IN THE MAIN MENU TO JOIN THE GAME."
"dialog_mp_pending_invite_short_message","YOU HAVE A PENDING GAME INVITE."
"dialog_mp_restart_level_host_message","Are you sure you want to restart?"
"dialog_mp_restart_level_message","Are you sure you want to create a vote for restarting?"
"dialog_mp_restart_level_title","Перезапустити"
"dialog_mp_send_invite_message","Do you wish to send a game invite to $FRIEND;?"
"dialog_mp_send_invite_title","Send game invite"
"dialog_mp_vote_kick_message","Було ініційовано голосування за вигнання $name; з гри. Голосування завершиться через $time; секунд."
"dialog_mp_vote_kick_response_title","Vote Kick"
"dialog_mp_vote_kick_unknown_message","A vote has been initiated to kick someone currently connecting. The vote will end in $time; seconds."
"dialog_mp_vote_restart_message","A vote has been initiated to restart. The vote will end in $time; seconds."
"dialog_mp_vote_restart_response_title","Vote Restart"
"dialog_new_patch","An update is needed to access online features."
"dialog_new_player_text","If you're new to heisting, Career Mode is a great way to get a hang of how the Payday Gang does business."
"dialog_new_player_title","Your Heisting Career"
"dialog_new_unlock_armors","Your first armor upgrade has been unlocked. You can change your armor from both Inventory and Job Overview."
"dialog_new_unlock_colors","You just got your first pair of colors for mask customization.$NL;To customize a mask you will need a material, pattern and a pair of colors."
"dialog_new_unlock_masks","You just got your first mask. All masks dropped will be placed in your stash. They can then be moved to an empty mask slot from where you can wear them and also customize if you got all the components for it."
"dialog_new_unlock_materials","You just got your first material for mask customization.$NL;To customize a mask you will need a material, pattern and a pair of colors."
"dialog_new_unlock_primaries","$value; has been unlocked and can be purchased into one of your empty primary weapon slots."
"dialog_new_unlock_secondaries","$value; has been unlocked and can be purchased into one of your empty secondary weapon slots."
"dialog_new_unlock_textures","You just got your first pattern for mask customization.$NL;To customize a mask you will need a material, pattern and a pair of colors."
"dialog_new_unlock_title","Congratulations!"
"dialog_new_unlock_weapon_mods","You just got your first weapon modification. You can access the weapon modification screen by selecting a bought weapon and choosing MODIFY WEAPON from the menu.$NL;Follow the exclamation marks on your bought weapons to find your latest drops."
"dialog_no","НІ"
"dialog_no_chat_parental_control","CHAT IS DISABLED ON YOUR Sony Entertainment Network Account DUE TO PARENTAL CONTROL RESTRICTIONS."
"dialog_no_connection_to_game_servers","Connection to game servers could not be established."
"dialog_npcommerce_browse_fail","COULD NOT OPEN PlayStation®Store"
"dialog_npcommerce_checkout_fail","Checkout failed"
"dialog_npcommerce_empty_store","There is no content available for download at this time. Please try again later."
"dialog_npcommerce_fail_open","FAILED INITIALIZING PlayStation®Store"
"dialog_npcommerce_need_install","To play the full version, you will need to restart the game after the installation is completed."
"dialog_npcommerce_opening","INITIALIZING PlayStation®Store"
"dialog_ok","Ок"
"dialog_on_server_left_message_cs","$message;$NL;Your Crime Spree is still active, but your rank has not changed.$NL;$NL;You will now be returned to the main menu."
"dialog_parental_control","Онлайн-сервіс відключено на вашому обліковому записі Sony Entertainment Network через обмеження батьківського контролю."
"dialog_pda9_event_text","Payday 2 is celebrating an anniversary! You know what that means...PIGGY BANK STUFF!$NL;$NL;You'll find the Piggy Bank in any heist on this event's Crime.net page. Usually hanging out near the beginning or end of the heist, on rooftops, and any wide-open spaces. Pay the Piggy as many Piggy Bucks as you can to make it grow, then break the Bank and escape to earn a ton of XP! The Piggy can grow up to five stages, based on how much you pay it. The bigger the Piggy, the more XP you'll earn!$NL;$NL;But where can you find Piggy Bucks, you ask? Easy! Kill enemies with headshots or the Cash Blaster to make them drop those shiny golden bags. You can earn them through normal kills as well, but they'll appear much less often. The Piggy Bucks will disappear if you don't grab them after ten seconds, so move fast!$NL;$NL;There's no limit to the number of times you can play a Piggy heist, and when it's complete, your total XP is doubled. Plus, you can earn even more XP through Piggy-related Side Jobs.$NL;$NL;Now, get out there and make that Piggy proud!"
"dialog_pda9_event_title","Payday 2 9th Anniversary"
"dialog_privacy","Read Privacy Policy"
"dialog_remove_dead_peer","Connection to one or more players could not be established."
"dialog_repair_weapon_message","Do you want to repair weapon ''$WEAPON;'' for $COST;?"
"dialog_repair_weapon_title","Repair"
"dialog_request_timed_out_message","Закінчився термін дії запиту на приєднання до гри"
"dialog_request_timed_out_title","Timed out"
"dialog_require_dlc_gage_pack_jobs","Requires Gage Mod Courier DLC!"
"dialog_requires_steam_overlay","This requires the Steam Community Overlay. Please ensure that in-game Steam Community is enabled and restart the game to use this feature."
"dialog_respec_skilltree","You are about to respec this skill tree.$NL;$NL;Doing a respec resets all skill points in the $tree; skill tree."
"dialog_retrieving_servers_title","Retrieving games"
"dialog_return_to_cs_lobby","Are you sure you want to return to the Crime Spree lobby?"
"dialog_reward_failed_title","Отримати нагороди"
"dialog_safehouse_goto_text","Do you want to go to your safe house?"
"dialog_safehouse_text","You haven't visited the safe house yet. Would you like to go there now?"
"dialog_safehouse_title","Safe house"
"dialog_save_settings_failed","Saving operation failed"
"dialog_sbzacc_drop_name","Starbreeze Nebula"
"dialog_show_restart_game_message","Ви впевнені, що хочете почати поточне пограбування з початку?"
"dialog_signin_change_NX64","A sign-in change occurred.$NL;You have been returned to the Title screen."
"dialog_signin_change_X360","A sign-in change occurred.$NL;You have been returned to the Title screen."
"dialog_signin_change_title_NX64","Sign-in change"
"dialog_signin_change_title_X360","Sign-in change"
"dialog_signin_question_NX64","In order to save, you must be signed into a profile. Do you want to sign in now?"
"dialog_signin_question_X360","In order to save, you must be signed into a profile. Do you want to sign in now?"
"dialog_signin_title_NX64","Not signed in"
"dialog_signin_title_X360","Not signed in"
"dialog_skills_place_title","Ти впевнений?"
"dialog_skills_reseted_title","Зверніть увагу"
"dialog_skills_respec_title","Ви впевнені?"
"dialog_skilltree_reseted","Changes have been made to the skill tree.$NL;$NL;All your skills have been reset and your skill points as well as your cash has been refunded."
"dialog_skip_signin_warning_NX64","Without signing in your progress will not be saved.$NL;$NL;Continue without saving?"
"dialog_skip_signin_warning_X360","Without signing in your progress will not be saved.$NL;$NL;Continue without saving?"
"dialog_skip_storage_warning_NX64","No storage device selected.$NL;If you proceed without selecting a storage device, you will not be able to save the game.$NL;$NL;Continue without saving?"
"dialog_skip_storage_warning_X360","No storage device selected.$NL;If you proceed without selecting a storage device, you will not be able to save the game.$NL;$NL;Continue without saving?"
"dialog_storage_removed_warning_NX64","Selected storage device has been removed. Your progress will no longer be saved"
"dialog_storage_removed_warning_X360","Selected storage device has been removed. Your progress will no longer be saved"
"dialog_telemetry_accept","$ACCEPT; Accept"
"dialog_telemetry_decline","$DECLINE; Decline"
"dialog_telemetry_question","We are collecting game data with the purpose of improving your game experience. Do you consent to this?"
"dialog_telemetry_title","Телеметрія"
"dialog_telemetry_toggle","Увімкнути телеметрію"
"dialog_texas_heat_drop_name","Texas Heat"
"dialog_the_host_has_left_the_game","The host has left the game"
"dialog_the_host_has_left_the_game_cs","The host has left the game. Your Crime Spree is still active, but your level has not changed.$NL;$NL;You will now be returned to the main menu."
"dialog_too_low_level","Your reputation is too low to join this server."
"dialog_too_low_level_ovk145","OVERKILL 145+ cannot be played with people below reputation level 145."
"dialog_tradable_drill_amount","$amount;x $item;"
"dialog_tradable_drills_converted","The following drills are being exchanged for safes of the same type. You will recive 1x safe for every 1x drill you have.$NL;Please stand by.$NL;$list;"
"dialog_transaction_successful","TRANSACTION SUCCESSFUL"
"dialog_unlock_infamyitem","You are about to unlock $item; item.$NL;$NL;It will cost $points; out of $remaining_points; points."
"dialog_unlock_skill_switch","You are about to unlock a new skill set.$NL;$NL;$cost_text;"
"dialog_unlock_skill_switch_free","This one is free of charge."
