"--101eced83d19b81f","Захід"
"--1acca43d791f92b4","10-та річниця"
"--1bf74b955a4640dc","Вибір моста"
"--1c6f6ded6f58639a","Бурова вишка - верхній помост"
"--1cca6995904ab0f3","Особисте: Завершити пограбування, розбивши Скарбничку 2 рази$NL;Спільнота: Внесіть 3 000 000 мішків Piggy Bucks до Скарбнички"
"--1f67dfafedc3a188","Свинячі бакси забезпечені"
"--1faf6a246fd0fb1f","Наш контакт у кампусі заховав для вас додаткове спорядження, яке ви можете забрати."
"--22cd51fed08b634f","Маски Тедді Му та Скарбничка"
"--24fcd1985395a635","Рукопашним боєм вбити 100 ворогів"
"--25615c4ee0fcbc6a","ПРИДБАТИ PAYDAY 3!"
"--257cd31a20ddbf71","Зменшує час, необхідний для злому дверей у дослідницькому центрі."
"--2880a69d2c9e33e1","Це зброя McShay Weapon Pack 3!"
"--293e32321bd7c35d","Показати запас боєприпасів"
"--296f530abf6f59df","ВИМКНЕНО"
"--2a725aa66af0edf6","Північний міст"
"--2c823c3569c916f6","Адміністративний корпус кампусу"
"--2cf0b2de68f00310","Принеси Баффа."
"--2d1c7f8a1d72baa0","В'їзд на територію кампусу SERA через південну парковку."
"--2d79e21537ec1a0a","$BTN_A; Початок місії"
"--2da05aef7cf4062f","Свинячі бакси забезпечені"
"--2f1869675ae20fa9","WEST: This bar's not bad. For a dive, anyway.$NL;KENT: You want another round?$NL;WEST: You buying?$NL;KENT: Two more vodka sodas.$NL;WEST: What was I saying before?$NL;KENT: You were about to tell me what everyone's been saying behind my back.$NL;WEST: Right. They say you got put on archive duty because you're the laziest agent at the Bureau.$NL;KENT: I'm not- Who says that?$NL;WEST: Everyone.$NL;KENT: Well, now they'll say that about you.$NL;WEST: That's what's so fucked! I'm a good agent! I worked my ass off to get on the Payday task force. I was gonna catch those bastards.$NL;KENT: And how'd that go?$NL;WEST: Show me a list of the best agents in the whole goddamn FBI. I'd bet a million bucks none of them could keep Hector Morales alive.$NL;KENT: But they weren't in charge of the Op. You were. Congratulations.$NL;WEST: I shouldn't be stuck at a desk. It's not fair.$NL;KENT: Listen. I was all gung-ho when I joined the task force, just like you. I was just as pissed when they dumped the Clown Case Files on me, but now, I'm glad they did.$NL;WEST: Why?$NL;KENT: Because I realized, it doesn't matter if you're out in the field or updating dossiers. Both jobs: equally useless.$NL;WEST: I don't...What are you saying?$NL;KENT: I'm saying we'll never catch them.$NL;WEST: Wow. Love that optimism.$NL;KENT: They broke into the Bureau's offices. Twice. They literally walked into our HQ, and we couldn't do a damn thing about it.$NL;WEST: So what then? They'll just run laps around us until they die of old age?$NL;KENT: Oh no, I think they'll get caught. Just not by us.$NL;WEST: By who, then?$NL;KENT: When you stare at the case files as long as I have, you start to see some connections.$NL;WEST: Oh god, is this some Illuminati shit?$NL;KENT: When the Clowns were working with Senator Simmons—$NL;WEST: If. There's no hard evidence that Simmons—$NL;KENT: It's when. Trust me. And when they worked with Simmons, their crimes didn't happen in a vacuum. They got a senator thrown in jail. They stole valuable tech prototypes. They swung an election, for Christ's sake.$NL;WEST: What's your point?$NL;KENT: My point is: when they worked with The Elephant, people got screwed. Powerful people. Washington people.$NL;WEST: And now there's a secret Anti-Payday Committee? Come on.$NL;KENT: No. But there are a whole bunch of politicians and lawmakers who want to see the Gang get theirs. Somebody's going to figure that out. They're gonna connect the dots, and when they do, they'll have an entire shadow network of power at their disposal with one purpose. One goal.$NL;WEST: ...Take down the Payday Gang?$NL;KENT: Take down the Payday Gang.$NL;WEST: I guess there are worse conspiracies.$NL;KENT: My thoughts exactly.$NL;WEST: Oh, by the way, I got an email from some agent named ''Stone-''$NL;KENT: She's some newbie fresh out of Quantico. Wants access to the Clown Files. She's obsessed, you'll get about a hundred emails from her a week. Just ignore them.$NL;WEST: She'll probably have my old job soon.$NL;KENT: Fine. Let her get shot at if she wants to.$NL;WEST: Haha! That I won't miss."
"--2f2a3e140b522c40","Приєднуйтесь до ''Невдахи'': Пограбування при завантаженні"
"--307dbc09f9c65e57","Купуйте комплект зброї МакШея 3 вже сьогодні!!!"
"--309c396005059dae","ПОКАЗАТИ КОД"
"--31c32df2410cf39a","Втрачені стрічки"
"--32ddf99947b6ea0a","Додаткові гроші"
"--33910e9de510f07e","Мушкетери"
"--34474e514327bec8","Social Hub"
"--356008d73471958c","ВСТАВИТИ"
"--36814d6b64f8557e","Витяжна шафа - нижній рівень"
"--37004c979298ce4b","Запрошує"
"--3702fb917911f5d0","Скарбнички розбиті"
"--380e5b2b2a744d20","Мішки закріплені."
"--3a5b799c87bf348c","Адміністративний офіс"
"--3a70865e24d27d57","Видалити з соціального хабу"
"--3ad38f552ff0485b","Нові варіанти костюмів Tactical BDU та Dragon Bomber, а також зброя ближнього бою HAM-mer"
"--3b830818380defa0","Спустіться з гелікоптера, щоб швидше дістатися до нафтової вишки. Будьте обережні: Габріель підніме тривогу, щойно ви приземлитеся."
"--3bbc04e6dacf76c3","ПОВНІСТЮ"
"--3cd37b85b41060dc","Це - ''Техаська спека''!"
"--3e0d315b41c7801a","Кодекс лобі"
"--3e0d931085b60987","Вертолітний майданчик"
"--3e7201bae66d977e","Видаліть цього гравця з ''Улюблені хейстери'' у своєму соціальному центрі."
"--3f3488e9ce241e90","Нижній подіум"
"--3f8b01b1a0b9d91e","Головний вхід"
"--3fa53cc1d73b6efb","Вороги держави"
"--405ceadd0dca2780","Тролей до Північної парковки"
"--40a8c9bd63bb567b","Маска ''Мислення злочинця'' (Фокус)"
"--42eb58d8e4d49dad","НАЛАШТУВАННЯ ЗАПРОШЕННЯ"
"--440b3a3991a89e44","Погано для бізнесу"
"--45fafa9118e1f011","Бурова вишка - кабінка для боєприпасів"
"--47019a92b274470b","Це предмет для пограбування грубого пробудження!"
"--47a9c5bc343cc031","Ексклюзивні набори ''Золоте правило'' та ''Червоний ровер"
"--4a6dec50cd363afb","ТІЛЬКИ ДЛЯ ФАВОРИТІВ"
"--4b447280b5dbfbb0","Smash And Grab"
"--4b84a6f5494806c9","Таймер перемикання"
"--4bd85105f12b4ff4","Дослідницький центр"
"--4be61a98406f70ed","Відхилити"
"--4d86fcaf8ca20bf7","Приєднатися не вдалося: Заблокований список"
"--4e110fc34be6c1c5","Crude Awakening Heist можна придбати окремо або в комплекті Crude Awakening Bundle."
"--4f718362ae993183","Отримати перк"
"--51e248a4885c2b00","Водій чекатиме на вас на південній парковці."
"--52273ff00559c0d5","Грайте в унікальний ігровий режим, де вибиваєте подарунки з ялинки за лут або командні бафи!"
"--52478d5f223ffde5","Це зброя McShay Weapon Pack 4!"
"--527544f972084a10","Зацініть пограбування ''Сирого Пробудження''!"
"--5304b33703ffc8d5","Додаткові гроші"
"--537e50c07ffbfd4b","GenSec була найбільшою охоронною компанією в окрузі Колумбія, коли до міста приїхала Банда ''День зарплати'', але клоуни так і не зустріли сейфа, який не змогли б зламати. Незабаром клієнти GenSec задалися питанням: Навіщо платити за охорону, яка нічого не може захистити?"
"--53e45a75fbaf8840","Бурова вишка - Північ"
"--548f52e77d314fb0","Приєднуйтесь до Failed: Тільки для друзів та обраних"
"--550fe8300070ca6b","Водій, відправлений охороняти здобич, приїжджає швидше"
"--557caf6010a97c70","Північний тролей"
"--55b5eb15a6e9e3d4","Регулювання тиску насоса (ГРОМКО)"
"--58862f323847344b","Загинули бульдозери"
"--598478f97d295005","Ви не змогли приєднатися до цього лобі, тому що хост завантажує рівень. Зачекайте хвилинку, а потім спробуйте приєднатися ще раз."
"--5a1780aac6e4427b","Запис:"
"--5d95975f71c4436b","Розгін (ГРОМКИЙ)"
"--5da16fe717c1f236","PD2 Улюблені Heisters"
"--5dd7568f55cd529a","Мішок для бурової вежі Zipline"
"--5efe05f92cc09c4c","Фургон для втечі - Північна парковка (КРАДІЖКА)"
"--5fc3417b78c01c4b","Блокування на соціальному хабі"
"--601b30888d0c9448","Вбито бородавочників"
"--622b9f33e38dcfaa","Охоронна будка"
"--63e466b10d2fde5e","Підробіток"
"--64303f0c4f1c9277","Молоток вбиває"
"--65141d543317e81e","За замовчуванням відображати коди користувача та лобі."
"--65564f3a43d7d6a0","Зона обробки - перевантажувальний кран"
"--656b07c9e0ae6c03","Визначте, хто зможе приєднатися до цієї гри. До публічної гри може приєднатися будь-хто, тоді як до гри ''Тільки для друзів'' можуть приєднатися лише ваші друзі. Приватні ігри доступні лише за запрошеннями."
"--664c80a5f1f26020","$BTN_BACK; Відкрити стенограму"
"--66b15918f240cb9c","Чорнило зворотного зазору"
"--676c66800075408b","УЛЮБЛЕНИЙ ЗАПИТ"
"--67d3ef9f699d5d2c","Коли ФБР прийшло по ''Банду до зарплати'', клоуни дали відсіч. Вони не раз виставляли федералів ідіотами, але для цього Банді довелося погратися в політику. Це принесло їм впливових друзів... І незліченну кількість впливових ворогів."
"--682ae3b8ac0bd150","У перший день знайдіть дві спеціальні ключ-карти, щоб відкрити загублений сейф у другий день, а потім викрадіть запис агента, який пророкує змову."
"--6b8d1ce8f99824bc","Південна автостоянка"
"--6c048e66da789b05","Головний вхід"
"--6c0c115d66c0a873","ВИМКНЕНО"
"--6c1d1808fcdc7094","Південний тролей"
"--6c588cbcb3e3ea23","Обраний Запросити"
"--6d310504c9db475b","Аварійний док"
"--6d6b24c745cb2e7d","Західний вертолітний майданчик (ГРОМКО)"
"--6ded8b33c95a7418","Лабораторія розвитку"
"--6e867f418d7b71f2","Відчинені двері"
"--6ea46b5172332fbc","Показувати резервні боєприпаси замість загальної кількості боєприпасів у ігровому HUD."
"--6ffb30b8a44ebe78","Попередження"
"--7019fb586954df50","Убий 100 ворогів зі снайперської гвинтівки"
"--702b809b1fc90ca6","Головний офіс - Схід"
"--7060d87435f5819a","Тільки для друзів."
"--708d09ad5bdc340b","Відкриється окремий екран. Продовжуйте там і натисніть OK, коли закінчите."
"--70a174e5f7589a07","Вийти"
"--7125dff899602676","Час, протягом якого потрібно утримувати кнопку, щоб перервати перемикання, активувати перемикання з таймером, або мінімальна тривалість взаємодії, щоб активувати адаптивне перемикання."
"--7153a2b1f06d181d","Платформа Favorite Heisters"
"--71e86c09f4b1669e","Свинячі бакси забезпечені"
"--731c7693c078bd14","Втрачені стрічки"
"--7402241908550385","Кампус - Головна площа"
"--7402bdf38d8ead29","Грати в безмережеву гру"
"--741a384cb4953be9","Рукавички Tiger's Dream, маска Criminal Mind (Cunning) та маска Kintsugi Crew"
"--7540d473cc7d7e99","З таким часом перезарядки вам краще зробити кожен постріл на вагу золота."
"--75515f55fad45bf2","Купуйте Crude Awakening Heist DLC вже сьогодні!!!"
"--77356cf64c55383f","Бурова вишка - Південна"
"--777ce3fed21ea2b9","The Gang не мали нічого особистого проти Overkill MC; вони просто постійно заважали їм. Було майже смішно, як часто ці два гурти стикалися один з одним, але Overkill було не до сміху. Можливо, саме тому вони мали справу з Murkywater."
"--77feb6938c1d3159","Південний міст"
"--79459a61b2bedce3","Купуйте DLC ''Вороже поглинання'' вже сьогодні!!!"
"--7a532a3115ed6b3e","Східний вертолітний майданчик (ГРОМКО)"
"--7b1e5943bc531307","Головний офіс компанії - переговорна кімната 2E"
"--7b22145c1d0c58ee","Це предмет МЕРТВОЇ ГРИ!"
"--7be71977a4161e4d","Тролей для перенесення сумок на південну парковку."
"--7c30679a625193c0","Приймайте запрошення на соціальний хаб від будь-кого, тільки від обраних хейстерів або ні від кого."
"--7cab3d493d25b357","Автоперезарядка вторинної зброї після виконання ##$multiperk;## вбиває первинну, і навпаки.$NL;$NL;Заміна зброї протягом ##$multiperk2;## секунд після автоперезарядки відбувається майже миттєво."
"--7d327e73d01372fa","Маска Тедді Му, ексклюзивний набір Red Rover та золотий варіант костюма Dragon Bomber"
"--7e0e73885d7020d8","Фургон для втечі - південна парковка (крадіжка)"
"--7e77fa16bfcc0e27","Особистий: Отримайте 35 бафів за підвищення рівня Скарбнички $NL;Спільноти: Внесіть до скарбнички 18 000 000 мішків баксів Piggy Bucks"
"--7e8d766049eeb94c","Кремінний мушкет Фредді, Королівський багнет і маска ''Мислити як злочинець'' (Фокус)"
"--7ebd685a86b957fe","Особистий: Убийте 25 ворогів за допомогою спільноти HAM-mer$NL;Community: Внесіть 12 000 000 мішків Piggy Bucks до скарбнички"
"--821e4251ea362809","Зона обробки - Західна"
"--824451b1183e3e03","Ви не маєте доступу до цього вмісту"
"--824ef52691e1de72","Придбайте комплект зброї МакШея 4, щоб розблокувати його!"
"--82a5330a225a4da0","Південний міст"
"--8359f19134f63a78","Вимкнути захист на дверях мосту"
"--837a3e31f5356730","McShay Weapon Pack 4"
"--83a74dc20ec4d700","Використовуйте човен, щоб дістатися до нафтової вишки через аварійний док."
"--84356fcbf406818b","Зацініть четвертий набір зброї від Джемми Макшей!"
"--850ee8178a1bf701","Ви не змогли приєднатися до цього лобі, тому що намагалися приєднатися занадто швидко."
"--85b5f66dce708824","Завітайте на ювілейний розпродаж!"
"--85eaa589fdcc1860","Корпоративний центр - Події: За лаштунками"
"--86361b2dcc59f01b","Заблоковано."
"--8642aef754e9533d","ПОКАЗАТИ КОД"
"--87e686af54022746","Додайте цей плеєр до списку ''Вибране'' в соціальному хабі."
"--897d2bc869a5c830","ВСІ"
"--8a1c8b1ccbb6100","Зіграйте в PAYDAY 2 для отримання винагород в PAYDAY 3!"
"--8ce37ec30c553967","Неулюблені"
"--8e6070f5b4e0371f","Рівень A"
"--8ee617168dff0438","Південний подіум - під вертолітним майданчиком"
"--908956a056d84fb3","Кампус - їдальня"
"--90a0a0462a473dee","Це позиція ''Загублені стрічки''!"
"--90a4641b950e9371","Схід"
"--90d1cc8ba796b247","НАЛАШТУВАННЯ СПОВІЩЕНЬ"
"--9165d6490eb25356","Розблокувати"
"--91919a3cb33fe2f7","Отримайте всі можливості PAYDAY 2 в одному пакеті!"
"--922e3601ccb1686d","Рівень B"
"--92569029f4fb273d","Доступні нові краплі Twitch!"
"--92700a68ab5aea00","Тату? Агов! Тату! О, Ральфе! Ральфе, дивись. Вони вислизають. Так, неважливо. Нам треба поговорити. Вони пограбували банк у Брукліні, але не взяли грошей! Вони шукали якусь дрібничку під підлогою! Ти можеш собі уявити, щоб вломитися в банк і залишити гроші? Можете собі це уявити? Я... Ні, це до біса тупо, але... Кажу вам, вони вислизають! Втрачають його! Це лише питання часу. Тобі справді треба... Вони схибнуться востаннє, і копи їх схоплять, і ці клоунські збоченці нарешті отримають те, на що заслуговують... Агов! Увімкни його, малий виродку! Тобі треба зробити заяву. Заяву? Яку в біса заяву? Для преси. Вони кажуть, що ''Гарнет Груп'' в сраці. Що ми ніколи не оговтаємося. Кляті стерв'ятники. Наживаються на нашій біді. Ні, мені нема чого їм сказати. Це не для них! Ми повинні, знаєте, заспокоїти акціонерів абощо! Заспокоїти... Де моє заспокоєння?! Вони вкрали мої діаманти! Моє багатство! Моє! Я той, хто все втратив, але нікому немає до цього діла. Навіть моєму тупоголовому сину. Гаразд, ні. До біса це. Ти тут не жертва, ясно? Це мене зв'язали на його день народження, і не в жартівливий спосіб. Мені досі сняться кошмари про довбаних клоунів з довбаними пістолетами, але я не можу дозволити собі терапію, бо ми втрачаємо гроші через те, що мій тупий тато не хоче говорити з пресою! Мені довелося продати свої яхти! Усі! Я не можу так жити! Треба повернути все на круги своя! Нам потрібне правосуддя! Облиш. Банда ''Деньги'' заплямувала наше ім'я! Виставила нас дурнями! Правосуддя, Ральфе. Це єдине, що може нас виправити. Гаразд, але як? Як це станеться? Їх треба спіймати! Вони мають постати перед судом! Відрубати їхні довбані голови! Повторюю в мільярдний раз: поліція марна. Ми не можемо на це розраховувати. Ніколи. Це станеться! Має статися! ФБР наближається. Вони перестали відповідати на мої дзвінки, але я стежив за новинами! Вони близько! Дуже близько! Господи, тату... Це неминуче! Клоуни не можуть тікати вічно. Ніхто не може вічно тікати від закону! Не менше, ніж... Я навіть не... Їх спіймають! Зловлять! Якщо ні, я... я не знаю, що я буду робити... Вони вислизають, Ральфе. Це лише питання часу. До біса це."
"--92e94a84607fd6ee","Дослідницький центр"
"--9516b1c546b29d27","Зібрано пакети датчиків"
"--95cb59ea7b610a2a","Перемкнути"
"--96f5d6bed02afe0e","Лабораторний подіум"
"--974917ef7509a631","Рівень D"
"--976d1fb1c66f76ac","Головний офіс компанії - пожежний вихід 3-го рівня"
"--98a47507a4d31f99","Social Hub"
"--992c086d621bc5c0","Запрошення надіслано!"
"--99ee5e43d2f71b09","Особисте: Внесіть 25 мішків Piggy Bucks до Скарбнички $NL;Спільнота: Внесіть 9 000 000 мішків Piggy Bucks до Скарбнички"
"--9a063e8f5642e610","КОМПАКТНИЙ"
"--9d2592d23ae137ba","Час зірвати банк!"
"--9e486e7a001513cf","Друзі Steam"
"--9e6511c99f930839","Кампус - їдальня"
"--9e73e28eb587fea2","Біле прилетить на своєму гелікоптері до західної сторони кампусу SERA."
"NX64_menu_crimenet_local","Crime.net Local Play"
"NX64_menu_crimenet_local_help","Заходьте на Crime.net, щоб грати на місцевому рівні."
"NX64_menu_crimenet_online","Crime.net Online"
"NX64_menu_crimenet_online_help","Запустіть Crime.net в онлайн-режимі."
"NX64_menu_play","Грай."
"NX64_menu_play_help","Почніть своє злочинне життя."
"a0c197aa1559c362","Транскрипт"
"a13a7be8fc65a0a6","Скопійовано!"
"a13b7a9518c59614","Заздалегідь сплануйте, яким мостом їхати до зони переробки та бурової вишки"
"a1a1eb71d03ec87e","Знайдіть дві спеціальні ключ-карти, щоб відкрити загублений сейф, а потім викрадіть запис акціонера GenSec, який жадає крові."
"a1c58482a8d8e06d","Виберіть розмір сповіщень у соціальному хабі."
"a35d72284230b0ed","Не відставати від гранатів"
"a36375ed07b4673f","Час молотка!"
"a38dcb5043eab530","Брифінг-кімната"
"a4deda3404af15b2","В дорозі"
"a4e8fc40cd6b9d1b","Ключ-карта Intel"
"a50794fdbfb9e7c6","Код користувача"
"a5333af08ac74c00","Перевірка DLC"
"a560959094fda569","Наш інсайдер підказав нам, хто з працівників має при собі картку-ключ від серверної кімнати."
"a5f6a925ee591c96","Купуйте зброю McShay Weapon Pack 4 вже сьогодні!!!"
"a6fdaf3bd5d66f7b","РЕЗУЛЬТАТИ ПОШУКУ"
"a7215d568eec0725","Не дозволяйте костюмам поросят вас обдурити. Ці бульдозери настільки ж смертоносні, наскільки й милі!"
"a741fdae683a884f","Це предмет ворожого поглинання!"
"a7909ce3d98ead29","Приєднатися не вдалося: Ви вже у фойє"
"a82899894a0c6abe","Вхід для технічного обслуговування"
"a82c97d66d792409","Лабораторія"
"a84b9bf37dd7960d","Ключ-карта Intel"
"a90393a878472d2a","Відкрийте соціальний хаб PAYDAY 2."
"a98911688d3d7b71","Стиль взаємодії"
"aa42469f82c28c82","ТІЛЬКИ ДЛЯ ДРУЗІВ"
"aa9aa72ab00c2ef1","Корпоративний центр - рівень 2"
"ab396f9f86cbb203","Адаптивний перемикач"
"abbc1c795a9cd204","Північний міст"
"ac10e4b02518a260","Збережена копійка - це зароблена копійка."
"ac3c1abd4198d141","$BTN_A; Відтворити запис"
"ac48aad86bb40ddb","Дослідницький центр - Офіс ОГС"
"acaa29b60269e65e","Це товар для водосховищних собак!"
"ad2a609df7e7e83d","Південна автостоянка"
"adde_special","Приголомшливо?"
"aeb33eae36dfa7aa","Біле прилетить на своєму гелікоптері до східної частини кампусу SERA."
"af9182a631634690","Отримайте новий PAYDAY 3 DLC прямо зараз!"
"b095815b805e4a57","Блок"
"b0b3f442a466d274","Зброя McShay Weapon Pack 3 доступна як окремо, так і в комплекті з набором ''Вороже поглинання''."
"b21565f4993f1252","Приєднання до команди"
"b2c53dcdb256d5be","Особисте: Вбити 25 бородавочників $NL;Спільнота: Внесіть 15 000 000 мішків Piggy Bucks до Скарбнички"
"b2f18c61a1394cb3","Автоперезарядка вторинної зброї після виконання ##$multiperk;## вбиває первинну, і навпаки.$NL;$NL;Заміна зброї протягом ##$multiperk2;## секунд після автоперезарядки відбувається майже миттєво."
"b33cbcdb1733a34a","lobby_code"
"b3d5793b2944afd1","Запросити"
"b4efb1ad903b0ac6","Офіс Еліс Рейні"
"b59333f0267baeba","Корпоративний центр - рівень 3"
"b5a174591daf1f54","Утримувати/Тап"
"b6bdb22c0892b410","Хейстерс."
"b771b90ab56445a9","Затримка з доставкою вина"
"bade13e06dac69f3","Зацініть пограбування ''Вороже поглинання''!"
"baef87a7930b16df","Приймальня"
"bc13c8bfeedfdf2f","Кампус - Західний"
"bc33be109334cff3","Свинячі бакси забезпечені"
"bccbd64087403f51","Налаштуйте параметри Social Hub"
"bcfdee7da9448a00","Зберіть 100 пакунків Gage"
"bd7b53db2e6c7a63","Регулювання тиску насоса (ГРОМКО)"
"bd93aacf09edac7e","Наш контакт у кампусі затримав доставку вина від SERA для сьогоднішнього заходу. Це вино виглядає цінним..."
"bdab3229fa4b9dc5","Тролей для перенесення сумок на північну парковку."
"bdf45f3d0c9be6c4","Вбивайте ворогів, щоб заробити мішки свинячих баксів, а потім відправляйте їх у скарбничку, щоб отримати бафи та бонуси!"
"bf1d5606dc5f21d3","Кампус та головний офіс - рівень 1"
"bf340b6651ef8f82","Зброя McShay Weapon Pack 4 доступна як окремо, так і в комплекті Crude Awakening."
"bm_global_value_chico","Набір персонажів ''Обличчя зі шрамом"
"bm_global_value_chico_unlock","Придбайте набір персонажів ''Обличчя зі шрамом'', щоб розблокувати його!"
"bm_global_value_collectable","Колекційний"
"bm_global_value_jigg","Набір скромних масок 5"
"bm_global_value_jigg_unlock","Придбайте Humble Mask Pack 5, щоб розблокувати!"
"bm_global_value_mad","Хардкорні пограбування Генрі"
"bm_global_value_pxp1","McShay Weapon Pack 1"
"bm_global_value_pxp2","McShay Weapon Pack 2"
"bm_global_value_steel","Gage Chivalry Pack"
"bm_global_value_steel_unlock","Купуйте Gage Chivalry Pack DLC, щоб розблокувати його!"
"bm_melee_zeus_info","Пристрій, що б'є струмом і виводить з ладу цілі при дотику"
"bm_menu_btn_buy_mod","Купуйте за монети Continental Coins"
"bm_menu_crit","Крит Шанс"
"bm_menu_customize_mask_title","Налаштувати маску: $mask_name;"
"bm_menu_damage_falloff_close","Поруч"
"bm_menu_damage_falloff_far","Далеко"
"bm_menu_damage_falloff_medium","Середина"
"bm_menu_damage_falloff_no_data","Н/П"
"bm_menu_missing_to_finalize_mask","Ви повинні вибрати $missed_mods;, щоб завершити кастомізацію"
"bm_menu_optimal_range","Оптимальний діапазон"
"bm_menu_sight_zoom_level","x$zoom;"
"bm_menu_weapon_mods","Мод на зброю"
"bodhi_desc","Національність: Невідомо$NL;Вік: Невідомо$NL;$NL;Бодхі відомий як одна з найбільших легенд у світі злочинності, але мало хто знає людину за маскою. Як батько-засновник банди ''Екс-президентів'', Бодхі відомий у злочинному світі своїм надзвичайним атлетизмом та зухвалими пограбуваннями. Його нещодавні силові подвиги в Мумбаї та Австрії привернули увагу Бейна, який запросив його до банди Payday."
"bonnie_desc","Національність: Шотландець$NL;Вік: 43$NL;$NL;Бонні родом з Глазго. Цього мало б бути достатньо, щоб вселити страх у серце чоловіка, але Бонні також з Глазго 1980-х років. Ці роки, епоха Тетчер, зробили і без того суворе місто ще суворішим і породили покоління рішучих, невблаганних шотландців. Бонні вирізана з цієї тканини."
"c07628ce0fbdc79c","Встановити #$SKILL_SWITCH;"
